case_id,country_code,country_name,forecast_origin,target_timestamp,horizon,actual_MW,lag_1h,lag_2h,lag_6h,lag_12h,lag_24h,lag_48h,lag_168h,rolling_mean_24h,rolling_std_24h,rolling_mean_168h,rolling_max_24h,rolling_min_24h,solar_mw_lag1h,wind_onshore_mw_lag1h,wind_offshore_mw_lag1h,nuclear_mw_lag1h,gas_mw_lag1h,coal_mw_lag1h,hydro_reservoir_mw_lag1h,hydro_river_mw_lag1h,biomass_mw_lag1h,oil_mw_lag1h,other_mw_lag1h,waste_mw_lag1h,hydro_pumped_mw_lag1h,total_gen_mw_lag1h,solar_share,wind_share,hydro_share,renewable_share,fossil_share,hour,dayofweek,month,year,quarter,day_of_year,week_of_year,is_weekend,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,is_holiday,hour_x_weekend,peat_mw_lag1h,gas_share,peat_share
LIVE_DE_h24_14,DE,Germany,2026-08-24 13:00:00+00:00,2026-08-25 13:00:00+00:00,24,54206.046445,52116.5084875,54110.6026175,55496.79274,35890.71333,38970.59031,43127.2064125,54876.06182,44280.1443703125,7437.534126752647,46646.1646503125,55496.79274,35579.50083,43371.05825,2646.0211125,322.29525,0.0,1959.8934925,0.0,23.7616,1323.21407,3540.55138,338.3806675,150.47543,865.7041750000001,240.280475,54781.6359025,0.7917079790605657,0.0541845148214082,0.0245880877379663,0.9351108417732048,0.0419533685355883,15,0,8,2026,3,236,35,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_15,DE,Germany,2026-08-24 14:00:00+00:00,2026-08-25 14:00:00+00:00,24,54212.911205,51030.9930425,52116.5084875,55283.36325,36628.6694325,39375.336065,42669.6681025,53120.9287575,44782.66115083333,7470.553958024889,46623.27733616071,55496.79274,35579.50083,39351.351,3021.45305,353.083,0.0,1991.3325075,0.0,157.56275,1307.211825,3562.376455,338.4806675,150.44317999999998,867.95645,391.44905,51492.699935,0.7642122291057527,0.0655342612498417,0.0284462569810673,0.927374912177442,0.0452455042742166,16,0,8,2026,3,236,35,0,-0.8660254037844384,-0.5000000000000004,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_16,DE,Germany,2026-08-24 15:00:00+00:00,2026-08-25 15:00:00+00:00,24,54927.456675,51868.0903575,51030.9930425,54670.921275,40533.6781825,40500.5468675,44503.736295,53047.350375,45303.19257968749,7512.51804405303,46615.81996473215,55496.79274,35579.50083,31593.4645,3644.8424825,384.44775,0.0,2186.996875,0.0,110.481275,1273.165125,3660.267005,338.54733250000004,150.08068,867.893275,414.90695,44625.09325,0.7079753161076028,0.090292029417776,0.0310060170014322,0.9112959811574176,0.0565947099169367,17,0,8,2026,3,236,35,0,-0.9659258262890684,-0.2588190451025206,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_17,DE,Germany,2026-08-24 16:00:00+00:00,2026-08-25 16:00:00+00:00,24,55529.1802025,53586.27489,51868.0903575,54492.878945,46495.4926325,42275.799395,44404.2258525,53404.33433,45848.43124729167,7622.853314760349,46619.02784875,55496.79274,35579.50083,20931.23775,4636.667555,346.36975,0.0,3321.9975425,0.0,15.951425,1241.71245,3987.15348,338.7665,137.82518,864.79685,731.911775,36554.3902575,0.5726053041113294,0.1363184358950595,0.0344052757039754,0.8524035605711404,0.1001456737949255,18,0,8,2026,3,236,35,0,-1.0,-1.8369701987210294e-16,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_18,DE,Germany,2026-08-24 17:00:00+00:00,2026-08-25 17:00:00+00:00,24,54690.7156475,54599.3849225,53586.27489,54110.6026175,51193.23583,41995.1126325,44825.2379225,52057.78207,46361.91397760416,7785.07232289393,46626.14124513393,55496.79274,35579.50083,10401.4355,5479.1590825,318.194,0.0,4702.3909,0.0,178.18455,1203.6491125,4121.389279999999,338.7823325,137.55243,867.646525,3254.862325,31003.2460375,0.3354950474353212,0.1869918096797931,0.0445706124071202,0.6999915911627548,0.1626014652273005,19,0,8,2026,3,236,35,0,-0.9659258262890684,0.2588190451025203,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_19,DE,Germany,2026-08-24 18:00:00+00:00,2026-08-25 18:00:00+00:00,24,53814.5432575,54652.148695,54599.3849225,52116.5084875,54474.4851525,41491.1322325,43740.4403125,50040.418015,46889.29048020833,7904.190107679501,46641.58390361608,55496.79274,35579.50083,2751.72775,6435.4223325,324.09225,0.0,5400.612532499999,0.0,248.44045,1195.989735,4220.024055,338.7381675,137.55243,868.1813,5434.264325,27355.0453275,0.1005930612454036,0.2471030298642812,0.0528030631171324,0.5547677362919186,0.2098095847141673,20,0,8,2026,3,236,35,0,-0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_20,DE,Germany,2026-08-24 19:00:00+00:00,2026-08-25 19:00:00+00:00,24,52224.7187525,52956.6519925,54652.148695,51030.9930425,55496.79274,40657.1111225,41767.2863,47781.4212575,47367.020470208336,7910.225714239689,46658.94243919644,55496.79274,35579.50083,123.287,7831.663259999999,356.5875,0.0,5582.898675,0.0,158.708,1202.0431475,4291.73273,338.379,137.55243,869.97055,5489.4095,26382.2317925,0.0046731073007647,0.3103699044266517,0.051578318248528,0.5292964502521625,0.224441878972624,21,0,8,2026,3,236,35,0,-0.7071067811865477,0.7071067811865474,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_21,DE,Germany,2026-08-24 20:00:00+00:00,2026-08-25 20:00:00+00:00,24,48713.43076,50799.808335,52956.6519925,51868.0903575,55283.36325,39449.719985,39608.804935,45401.24885,47789.6328540625,7806.416394272265,46676.90902894345,55496.79274,35579.50083,0.0895,10398.8189025,421.68775,0.0,5589.3909425,0.0,87.511,1183.891125,4254.78823,338.564,137.55243,865.418925,4060.48145,27338.194254999995,3.273808034472905e-06,0.3958018057656091,0.0465064412499544,0.5979468268834277,0.2168378381983225,22,0,8,2026,3,236,35,0,-0.5000000000000004,0.8660254037844384,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_22,DE,Germany,2026-08-24 21:00:00+00:00,2026-08-25 21:00:00+00:00,24,46107.46655,47617.41556,50799.808335,53586.27489,54670.921275,37831.4689225,38212.7045675,43479.7763225,48129.95350302083,7602.399580715307,46690.10049745535,55496.79274,35579.50083,0.0,12887.2891925,471.2155,0.0,5419.01855,0.0,82.47455,1170.802735,4162.47708,338.7273325,137.41768000000002,868.157325,1196.46815,26734.048095,0.0,0.4996813294054935,0.0468794430438088,0.7022602409775458,0.2153712697022063,23,0,8,2026,3,236,35,0,-0.2588190451025215,0.965925826289068,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_23,DE,Germany,2026-08-24 22:00:00+00:00,2026-08-25 22:00:00+00:00,24,44193.82726,44625.87615,47617.41556,54599.3849225,54492.878945,37045.1212675,35952.88656,41654.3517175,48413.05380416667,7323.622590661531,46696.9225202381,55496.79274,35579.50083,0.0,15202.550775,543.502,0.0,4952.0775175,0.0,50.241475,1171.71932,4031.04748,339.513165,137.55243,872.2963,97.622075,27398.1225375,0.0,0.574712838569441,0.0446001653335002,0.7664416064005276,0.1931369813846683,0,1,8,2026,3,237,35,0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,,,
LIVE_DE_h24_24,DE,Germany,2026-08-24 23:00:00+00:00,2026-08-25 23:00:00+00:00,24,43145.317185,42324.7572275,44625.87615,54652.148695,54110.6026175,36164.6833825,35051.4116525,40720.4326325,48633.03863583333,7041.156419903551,46700.91302922619,55496.79274,35579.50083,0.0,16855.9790575,610.219,0.0,4822.61575,0.0,25.860875,1173.506215,3898.61313,344.1586675,137.18993,888.321075,74.52810000000001,28830.991800000003,0.0,0.6058132921219865,0.0415999247726191,0.7826362143219784,0.179209041899835,1,1,8,2026,3,237,35,0,0.2588190451025207,0.9659258262890684,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,,,
