case_id,llm,shap_model,country_code,horizon,status,total_abs_shap,matched_abs_shap,feature_agreement,feature_agreement_pct,n_shap_features,n_mentioned,mentioned_features,unmentioned_features,direction_agreement,direction_agreement_pct,n_directional_claims,n_correct_direction,has_directional_claims,country_name,error_pct,error_tier
LIVE_PT_h24_15,gemma,LightGBM,PT,24,ok,2079.9509,0.0,0.0,0.0,10,0,,month|lag_48h|wind_onshore_mw_lag1h|hour_sin|is_weekend|lag_1h|wind_offshore_mw_lag1h|week_of_year|rolling_min_24h|dow_sin,,,0,0,False,Portugal,6.0448174597877635,high
LIVE_PT_h24_16,gemma,XGBoost,PT,24,ok,1980.4199,72.0818,0.0364,3.64,10,1,solar_mw_lag1h,month|lag_48h|wind_onshore_mw_lag1h|lag_1h|hour_sin|is_weekend|lag_12h|rolling_min_24h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,7.955947211290545,high
LIVE_PT_h24_16,gemma,LightGBM,PT,24,ok,2081.6252,0.0,0.0,0.0,10,0,,month|lag_48h|wind_onshore_mw_lag1h|hour_sin|is_weekend|lag_1h|wind_offshore_mw_lag1h|week_of_year|rolling_min_24h|dow_sin,,,0,0,False,Portugal,7.955947211290545,high
LIVE_PT_h24_17,gemma,XGBoost,PT,24,ok,1981.0369,414.4145,0.2092,20.92,10,3,lag_1h|is_weekend|solar_mw_lag1h,month|lag_48h|wind_onshore_mw_lag1h|hour_sin|lag_12h|rolling_min_24h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,8.253539852645675,high
LIVE_PT_h24_17,gemma,LightGBM,PT,24,ok,2079.3466,273.8433,0.1317,13.17,10,2,is_weekend|lag_1h,month|lag_48h|wind_onshore_mw_lag1h|hour_sin|wind_offshore_mw_lag1h|week_of_year|rolling_min_24h|dow_sin,,,0,0,False,Portugal,8.253539852645675,high
LIVE_PT_h24_18,gemma,XGBoost,PT,24,ok,1980.7567,70.9901,0.0358,3.58,10,1,solar_mw_lag1h,month|lag_48h|wind_onshore_mw_lag1h|lag_1h|hour_sin|is_weekend|lag_12h|rolling_min_24h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,3.2813696258536154,medium
LIVE_PT_h24_18,gemma,LightGBM,PT,24,ok,2078.2177,0.0,0.0,0.0,10,0,,month|lag_48h|wind_onshore_mw_lag1h|hour_sin|is_weekend|lag_1h|wind_offshore_mw_lag1h|week_of_year|rolling_min_24h|dow_sin,,,0,0,False,Portugal,3.2813696258536154,medium
LIVE_PT_h24_19,gemma,XGBoost,PT,24,ok,1966.7351,217.0811,0.1104,11.04,10,2,is_weekend|solar_mw_lag1h,month|lag_48h|wind_onshore_mw_lag1h|lag_1h|hour_sin|rolling_min_24h|lag_12h|hydro_pumped_mw_lag1h,,,0,0,False,Portugal,0.49755177215758595,low
LIVE_PT_h24_19,gemma,LightGBM,PT,24,ok,2087.1549,145.4403,0.0697,6.97,10,1,is_weekend,month|lag_48h|hour_sin|wind_onshore_mw_lag1h|lag_1h|week_of_year|rolling_min_24h|wind_offshore_mw_lag1h|dow_sin,,,0,0,False,Portugal,0.49755177215758595,low
LIVE_PT_h24_20,gemma,XGBoost,PT,24,ok,2007.3828,979.0494,0.4877,48.77,10,3,month|wind_onshore_mw_lag1h|solar_mw_lag1h,lag_48h|lag_1h|hour_sin|is_weekend|rolling_min_24h|lag_12h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,0.20004892227114807,low
LIVE_PT_h24_20,gemma,LightGBM,PT,24,ok,2099.1002,961.3415,0.458,45.8,10,2,month|wind_onshore_mw_lag1h,lag_48h|hour_sin|is_weekend|lag_1h|wind_offshore_mw_lag1h|week_of_year|rolling_min_24h|dow_sin,,,0,0,False,Portugal,0.20004892227114807,low
LIVE_PT_h24_21,gemma,XGBoost,PT,24,ok,1983.8088,444.9555,0.2243,22.43,10,3,wind_onshore_mw_lag1h|is_weekend|solar_mw_lag1h,month|lag_48h|lag_1h|hour_sin|hydro_pumped_mw_lag1h|week_of_year|rolling_min_24h,,,0,0,False,Portugal,1.838917054147289,medium
LIVE_PT_h24_21,gemma,LightGBM,PT,24,ok,2069.0911,371.8783,0.1797,17.97,10,2,wind_onshore_mw_lag1h|is_weekend,month|lag_48h|hour_sin|lag_1h|week_of_year|rolling_min_24h|hydro_pumped_mw_lag1h|dow_sin,,,0,0,False,Portugal,1.838917054147289,medium
LIVE_PT_h24_22,gemma,XGBoost,PT,24,ok,1979.1416,246.2788,0.1244,12.44,10,2,is_weekend|solar_mw_lag1h,month|lag_48h|wind_onshore_mw_lag1h|lag_1h|hour_sin|rolling_min_24h|week_of_year|lag_12h,,,0,0,False,Portugal,1.403956079444536,low
LIVE_PT_h24_22,gemma,LightGBM,PT,24,ok,2101.3835,166.3911,0.0792,7.92,10,1,is_weekend,month|lag_48h|wind_onshore_mw_lag1h|hour_sin|lag_1h|week_of_year|rolling_min_24h|hydro_pumped_mw_lag1h|dow_sin,,,0,0,False,Portugal,1.403956079444536,low
LIVE_PT_h24_23,gemma,XGBoost,PT,24,ok,1987.1176,314.1163,0.1581,15.81,10,3,is_weekend|rolling_min_24h|solar_mw_lag1h,month|lag_48h|wind_onshore_mw_lag1h|lag_1h|hour_sin|week_of_year|lag_12h,,,0,0,False,Portugal,0.6596871176367819,low
LIVE_PT_h24_23,gemma,LightGBM,PT,24,ok,2099.6942,237.7192,0.1132,11.32,10,2,is_weekend|rolling_min_24h,month|lag_48h|wind_onshore_mw_lag1h|hour_sin|lag_1h|week_of_year|hydro_pumped_mw_lag1h|dow_sin,,,0,0,False,Portugal,0.6596871176367819,low
LIVE_PT_h24_24,gemma,XGBoost,PT,24,ok,1999.0387,131.2495,0.0657,6.57,10,2,rolling_min_24h|solar_mw_lag1h,month|lag_48h|wind_onshore_mw_lag1h|is_weekend|lag_1h|hour_sin|week_of_year|lag_12h,,,0,0,False,Portugal,0.8228271429639071,low
LIVE_PT_h24_24,gemma,LightGBM,PT,24,ok,2105.5203,77.6591,0.0369,3.69,10,1,rolling_min_24h,month|lag_48h|wind_onshore_mw_lag1h|hour_sin|is_weekend|lag_1h|week_of_year|hydro_pumped_mw_lag1h|dow_sin,,,0,0,False,Portugal,0.8228271429639071,low
LIVE_IE_h24_01,gemma,XGBoost,IE,24,ok,633.0514,123.3942,0.1949,19.49,10,3,dayofweek|rolling_min_24h|rolling_max_24h,lag_168h|hour_cos|lag_1h|dow_cos|lag_48h|lag_24h|hour,,,0,0,False,Ireland,2.4481539105234447,medium
LIVE_IE_h24_01,gemma,LightGBM,IE,24,ok,614.4978,87.1686,0.1419,14.19,10,2,dayofweek|rolling_min_24h,lag_168h|hour_cos|lag_1h|dow_cos|lag_48h|lag_24h|hour|dow_sin,,,0,0,False,Ireland,2.4481539105234447,medium
